id,sample_reason,category,contract,clause_text,target,rubric_aggregate,rubric_structure_ok,rubric_groundedness,rubric_length_ok,rubric_no_contradiction,reviewer_verdict,reviewer_notes
NEXSTARFINANCEHOLDINGSINC_03_27_2002-EX-10.26-OUTSOURCING AGREEMENT__Audit Rights_0,random,Audit Rights,NEXSTARFINANCEHOLDINGSINC_03_27_2002-EX-10.26-OUTSOURCING AGREEMENT,"At all times during the Term and for six (6) months following the termination of this Agreement, WYZZ shall have the right, upon prior written request to Nexstar, to review all of the books and records of Nexstar relating to the BCF Report and the Distributions.","Issue: The scope and duration of the audit rights granted to WYZZ under the contract.

Rule: Under contract law, a party's right to audit another party's books and records is a specific contractual obligation that must be clearly defined in terms of the scope of review and the duration of such rights.

Application: WYZZ is granted the right to review Nexstar's books and records related to the BCF Report and Distributions. This right is exercisable at any time during the term of the agreement and for an additional six months post-termination. The scope of the review is limited to the specific financial documents related to the BCF Report and Distributions, indicating that the audit is targeted and not a broad, unrestricted review.

Conclusion: WYZZ's audit rights are well-defined in terms of the specific documents to be reviewed and the temporal duration, providing clear parameters for the exercise of this contractual right.",1.0,1.0,1.0,1.0,1.0,good,Accurate on both scope (books/records re BCF Report and Distributions) and duration (Term plus six months). Well grounded.
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.__Exclusivity_2",random,Exclusivity,"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.","Nantz Communications and Nantz expressly agree that the Endorsement will not be granted to anyone other than the Company for use during the Term in connection with the advertisement and promotion of sportswear apparel, hats and shoes.","Issue: The issue is whether the contract clause imposes an exclusivity obligation on the parties regarding the Endorsement for the specified products and time period.

Rule: Exclusivity clauses in contracts typically restrict the parties from granting rights to third parties that are not the contract parties, ensuring that the contract parties have exclusive rights to use the granted rights during the term of the contract.

Application: The clause explicitly states that the Endorsement will not be granted to anyone other than the Company, which means Nantz Communications and Nantz are precluded from allowing any third party to use the Endorsement for the advertisement and promotion of sportswear apparel, hats, and shoes during the Term.

Conclusion: Therefore, the clause enforces an exclusivity obligation on Nantz Communications and Nantz, limiting their use of the Endorsement to only the Company for the specified products and time period.",1.0,1.0,1.0,1.0,1.0,good,Accurate. Correctly reads the negative covenant as an exclusivity obligation limited to the named product categories and the Term.
NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement__Ip Ownership Assignment_0,random,Ip Ownership Assignment,NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement,"VerticalNet shall register and own the domain name and the URL used in connection with the Co-Branded Career Center, subject, however, to Neoforma's agreement on the name to be used for the URL, which domain name and URL shall be mutually agreed upon by the Parties.","Issue: The issue is the assignment and registration of domain names and URLs for a co-branded career center, with conditions on Neoforma's agreement on the URL name.

Rule: Under contract law, parties must adhere to the terms agreed upon, and domain names and URLs are considered intellectual property that can be assigned and registered as part of a contractual agreement. Both parties must mutually agree on the specifics of the domain name and URL to ensure clear ownership and registration.

Application: The clause requires VerticalNet to register and own the domain name and URL for the Co-Branded Career Center, subject to Neoforma's agreement on the URL name. This means that while VerticalNet is responsible for the registration, the choice of the URL name must be mutually agreed upon by both parties. This ensures that both parties are in agreement on the branding and identity of the co-branded career center.

Conclusion: The clause ensures that both parties have a say in the branding of the co-branded career center, with VerticalNet handling the registration and ownership of the domain name and URL, but only after reaching mutual agreement on the specific URL name.",1.0,1.0,1.0,1.0,1.0,good,Accurate. Correctly captures VerticalNet registering/owning the domain subject to mutual agreement on the name.
BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT__Exclusivity_0,random,Exclusivity,BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT,"orders of, and applicable restrictions imposed by, governmental authorities (collectively, the ""Applicable General Laws""), other than all applicable laws, rules and regulations in respect of ""going out of business"", ""store closing"" or similar-themed sales and permitting (collectively, the ""Liquidation Sale Laws"")","Issue: The scope of exclusivity in the context of compliance with general laws versus liquidation sale laws.

Rule: In contract law, exclusivity clauses typically restrict a party from engaging in certain activities that may compete with the other party. However, such exclusivity is subject to compliance with applicable laws, rules, and regulations. Generally, exclusivity does not extend to compliance with laws that are specifically related to liquidation sales.

Application: This clause specifies that exclusivity is subject to compliance with ""Applicable General Laws"" but excludes compliance with ""Liquidation Sale Laws."" This means the party is not restricted from complying with laws that apply to general business operations but is allowed to comply with laws that apply specifically to liquidation sales.

Conclusion: The clause allows for flexibility in compliance with general business laws while ensuring the party can legally conduct liquidation sales without breaching the exclusivity agreement.",0.875,1.0,0.5,1.0,1.0,bad,Clause is a definitions fragment carving Liquidation Sale Laws out of Applicable General Laws; it has nothing to do with exclusivity. Target invents an exclusivity frame and produces an incoherent Application ('not restricted from complying with laws ... but is allowed to comply with laws'). Drop.
"ARMSTRONGFLOORING,INC_01_07_2019-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT__Affiliate License-Licensee_0",low_rubric_score,Affiliate License-Licensee,"ARMSTRONGFLOORING,INC_01_07_2019-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT","Arizona may sublicense the licenses granted herein to its Affiliates and Third Parties in the ordinary course of business in support of its and its Affiliates' business, but not for the independent use of Third Parties, and the Company may sublicense the licenses granted herein to Third Parties, its Subsidiaries, AWP, controlled Affiliates, or any holding company that is a direct or indirect parent of the Company in the ordinary course of business in support of its and its Subsidiaries' or controlled Affiliates' business, but not for the independent use of Third Parties (each such Affiliate, Third Party, AWP or Subsidiary, a ""Sublicensee"").","Issue: Scope of sublicense rights for Affiliates and Third Parties

Rule: In contract law, the grant of a license typically includes the right to sublicense, subject to the licensor's control and the terms of the original agreement. Licenses can be sublicensed to Affiliates and Third Parties, but the sublicensing must be for the support of the licensor's and its Affiliates' business operations, not for independent use by Third Parties.

Application: The clause allows Arizona to sublicense its licenses to Affiliates and Third Parties for business support, but not for independent use by Third Parties. Similarly, the Company may sublicense its licenses to Third Parties, Subsidiaries, AWP, controlled Affiliates, or a holding company that is a direct or indirect parent of the Company, but also only for business support and not for independent use by Third Parties. Each such sublicensee is referred to as a ""Sublicensee.""

Conclusion: The clause restricts sublicensing to support the business operations of the licensor and its Affiliates, ensuring that Third Parties do not gain independent use rights through sublicensing.",0.75,1.0,0.0,1.0,1.0,minor_issue,"Parties are correct here (unlike the duplicate of this clause elsewhere in the sample), but the Rule is wrong law: it states a license grant 'typically includes the right to sublicense'. Default is the opposite - sublicense rights must be expressly granted. Fix the Rule."
"BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement__Non-Transferable License_7",low_rubric_score,Non-Transferable License,"BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement","For clarity, in no event shall any permitted delegation or subcontracting of any activities to be performed in connection with this Agreement release a Party from any of its limitations or obligations under this Agreement.","Issue: The scope of a non-transferable license and its impact on a party's obligations.

Rule: A non-transferable license restricts a party from delegating or subcontracting their responsibilities without assuming liability for any resulting breaches of the agreement.

Application: The clause explicitly prohibits any delegation or subcontracting of activities under the agreement, ensuring that the party retains responsibility for their obligations. By stating ""in no event shall any permitted delegation or subcontracting release a Party from any of its limitations or obligations,"" the clause reinforces that the party remains bound by the terms of the agreement even if they delegate or subcontract their duties.

Conclusion: The clause ensures that the party retains all obligations under the agreement, regardless of any delegation or subcontracting of activities.",0.75,1.0,0.0,1.0,1.0,bad,Contradicts the clause. Target says it 'explicitly prohibits any delegation or subcontracting'; the clause presupposes permitted delegation and only provides that it does not release the delegating party from its obligations. Rule statement is also garbled. Drop or regenerate.
"ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER AGREEMENT__Non-Transferable License_0",low_rubric_score,Non-Transferable License,"ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER AGREEMENT","Subject to the terms and conditions of this Agreement, PivX hereby grants to Detto a non-transferable, exclusive license to distribute PivX's Qwik-Fix Pro and any documentation supporting Qwik-Fix Pro provided from time to time by PivX (the ""Documentation"") within North America, solely to third parties to whom Detto licenses Qwik-Fix Pro (""Third Parties""), and as governed by the terms set forth in Exhibit A (PivX/Detto Reseller Agreement Addendum). PivX also hereby grants to Detto a non-transferable, non-exclusive license to distribute PivX's Qwik-Fix Pro and the Documentation outside of North America, solely to Third Parties and as governed by the terms in Exhibit A. Detto shall have no right to reproduce Qwik-Fix Pro or any part thereof.","Issue: The nature and limitations of the licenses granted under the contract.

Rule: In contract law, a non-transferable license typically restricts the licensee from assigning or transferring the rights to a third party without the licensor's consent. Licenses are also subject to the terms and conditions agreed upon by the parties, which may include geographical restrictions and the scope of use.

Application: The clause grants Detto a non-transferable, exclusive license to distribute Qwik-Fix Pro and its documentation within North America, subject to the terms set forth in Exhibit A. Detto, however, is granted a non-transferable, non-exclusive license to distribute Qwik-Fix Pro and its documentation outside of North America, also subject to the terms in Exhibit A. Detto is not permitted to reproduce Qwik-Fix Pro or any part thereof.

Conclusion: Detto's rights to distribute Qwik-Fix Pro are limited to the geographical regions specified and are subject to the terms of the Reseller Agreement Addendum. Detto cannot transfer these rights without PivX's consent and is prohibited from reproducing the software.",0.75,1.0,1.0,1.0,0.0,minor_issue,"Substantively accurate on the exclusive/NA vs non-exclusive/ex-NA split and the no-reproduction limit. Adds 'cannot transfer these rights without PivX's consent' - clause says non-transferable, with no consent mechanism. Note: rubric_no_contradiction=0 looks like a false positive (the exclusive/non-exclusive split is in the source clause, not an error in the target)."
ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement__Ip Ownership Assignment_0,random,Ip Ownership Assignment,ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement,"Company acknowledges and agrees that all Intellectual Property created by Company, its affiliates, representatives, or agents in connection with or resulting from any work or services related to the Products, including the Deliverables (""Work Product""), but excluding the Neutral Alcohol Beverage Base and excluding the Company's general know-how and independently developed production processes not specifically related to the Products, have been specially ordered and commissioned by Reed's, are works-made-for-hire from the moment of creation and that all such Work Product is and will be the sole and exclusive property of Reed's.","Issue: Ownership of Intellectual Property in Work Product

Rule: Under contract law, intellectual property created under a work-made-for-hire agreement is owned by the entity that commissions the work.

Application: The clause states that the Work Product is a work-made-for-hire from the moment of creation, and all such Work Product is and will be the sole and exclusive property of Reed's. This indicates that Reed's commissions the creation of the Work Product, and thus, under the work-made-for-hire doctrine, Reed's owns the intellectual property rights to the Work Product.

Conclusion: Reed's has exclusive ownership of the intellectual property rights to the Work Product, as it has specially ordered and commissioned the creation of these works.",1.0,1.0,1.0,1.0,1.0,good,"Accurate. Correctly identifies the WMFH designation, the present assignment, and the express carve-outs. Could have flagged that WMFH only attaches to statutory categories, but nothing stated is wrong."
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT__Audit Rights_0,low_rubric_score,Audit Rights,CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT,"In addition, if         any such inspection reveals an underpayment of more than five percent         (5%) for the period under audit, Corio shall reimburse Commerce One for         the reasonable cost of the examination.","Issue: The scope and conditions for reimbursement of examination costs in the event of an underpayment are unclear.

Rule: Under contract law, a party's obligation to reimburse another for costs is typically tied to a specific breach or condition being met. In this case, the clause requires Corio to reimburse Commerce One for the reasonable cost of an examination if an underpayment of more than five percent is found during an audit.

Application: The clause specifies that Corio must reimburse Commerce One for the reasonable cost of the examination if an underpayment of more than five percent is discovered. This implies that the examination must be conducted as part of an audit, and the underpayment must be identified during this process. The clause does not specify the frequency or trigger for these audits, nor does it clarify what constitutes a ""reasonable cost.""

Conclusion: The clause obligates Corio to reimburse Commerce One for the reasonable costs of an examination if an underpayment exceeding five percent is identified during an audit, but it does not provide details on the audit process or the cost calculation.",0.75,1.0,0.0,1.0,1.0,good,"Accurate on the 5% threshold and the cost-shift mechanic, and correctly notes what the fragment leaves undefined. Issue is phrased as a finding rather than a question, which is a small style inconsistency with the rest of the set."
BLUEFLYINC_03_27_2002-EX-10.27-e-business Hosting Agreement__Cap On Liability_1,random,Cap On Liability,BLUEFLYINC_03_27_2002-EX-10.27-e-business Hosting Agreement,It is the cumulative maximum for which Customer and its Affiliates are collectively responsible.,"Issue: The scope of the cap on liability for the Customer and its Affiliates.

Rule: A cap on liability in a contract typically limits the maximum amount that one party can be held responsible for, regardless of the actual damages incurred.

Application: The clause specifies a cumulative maximum liability for the Customer and its Affiliates. This means that the total amount of liability across all parties is capped, but each party's individual liability is not capped separately.

Conclusion: The clause effectively limits the total exposure of the Customer and its Affiliates to a specific amount, ensuring that no single party or group of parties can be held responsible for more than the stated maximum.",1.0,1.0,1.0,1.0,1.0,minor_issue,Self-contradictory. Application says 'each party's individual liability is not capped separately'; Conclusion says no single party can be held responsible for more than the maximum. Also over-reads a one-line fragment. rubric_no_contradiction=1.0 missed this.
